timestamp,t_idx,node,speed,volume,tti
2024-01-01 00:00:00,0,0,63.41,297.2,0.9462
2024-01-01 00:00:00,0,1,66.25,446.3,0.9056
2024-01-01 00:00:00,0,2,54.15,361.3,1.1081
2024-01-01 00:00:00,0,3,60.38,341.7,0.9936
2024-01-01 00:00:00,0,4,49.95,431.6,1.2012
2024-01-01 00:00:00,0,5,70.14,435.4,0.8555
2024-01-01 00:00:00,0,6,56.86,602.6,1.0551
2024-01-01 00:00:00,0,7,61.4,375.1,0.9772
2024-01-01 00:00:00,0,8,67.77,265.3,0.8853
2024-01-01 00:00:00,0,9,60.14,399.2,0.9977
2024-01-01 00:00:00,0,10,54.45,477.3,1.102
2024-01-01 00:00:00,0,11,51.17,379.2,1.1726
2024-01-01 00:00:00,0,12,51.22,423.5,1.1715
2024-01-01 00:00:00,0,13,54.1,482.2,1.1091
2024-01-01 00:00:00,0,14,48.74,464.3,1.2311
2024-01-01 00:00:00,0,15,61.42,348.8,0.9768
2024-01-01 00:00:00,0,16,41.8,301.5,1.4355
2024-01-01 00:00:00,0,17,48.51,478.0,1.2367
2024-01-01 00:00:00,0,18,59.66,372.2,1.0057
2024-01-01 00:00:00,0,19,47.53,441.0,1.2625
2024-01-01 00:00:00,0,20,38.9,403.4,1.5426
2024-01-01 00:00:00,0,21,54.67,440.1,1.0975
2024-01-01 00:00:00,0,22,47.85,381.9,1.2539
2024-01-01 00:00:00,0,23,77.61,359.5,0.7731
2024-01-01 00:00:00,0,24,54.54,480.6,1.1002
2024-01-01 00:00:00,0,25,60.87,450.7,0.9858
2024-01-01 00:00:00,0,26,52.3,377.1,1.1473
2024-01-01 00:00:00,0,27,65.26,398.6,0.9195
2024-01-01 00:00:00,0,28,45.84,430.0,1.3089
2024-01-01 00:00:00,0,29,44.07,429.2,1.3615
2024-01-01 00:05:00,1,0,57.45,332.5,1.0444
2024-01-01 00:05:00,1,1,64.49,428.6,0.9304
2024-01-01 00:05:00,1,2,62.13,466.0,0.9657
2024-01-01 00:05:00,1,3,58.95,334.4,1.0177
2024-01-01 00:05:00,1,4,52.57,464.7,1.1413
2024-01-01 00:05:00,1,5,63.67,339.9,0.9423
2024-01-01 00:05:00,1,6,53.91,571.1,1.113
2024-01-01 00:05:00,1,7,60.43,452.6,0.9929
2024-01-01 00:05:00,1,8,65.38,321.1,0.9176
2024-01-01 00:05:00,1,9,59.38,386.2,1.0105
2024-01-01 00:05:00,1,10,56.37,478.3,1.0644
2024-01-01 00:05:00,1,11,46.41,367.8,1.2928
2024-01-01 00:05:00,1,12,48.91,465.5,1.2267
2024-01-01 00:05:00,1,13,51.09,464.6,1.1744
2024-01-01 00:05:00,1,14,48.94,465.1,1.2259
2024-01-01 00:05:00,1,15,57.0,364.2,1.0527
2024-01-01 00:05:00,1,16,42.06,338.2,1.4264
2024-01-01 00:05:00,1,17,41.6,349.2,1.4421
2024-01-01 00:05:00,1,18,56.03,364.4,1.0708
2024-01-01 00:05:00,1,19,51.2,363.2,1.1719
2024-01-01 00:05:00,1,20,35.53,441.2,1.6886
2024-01-01 00:05:00,1,21,55.6,465.4,1.0792
2024-01-01 00:05:00,1,22,44.7,360.7,1.3423
2024-01-01 00:05:00,1,23,72.15,331.3,0.8316
2024-01-01 00:05:00,1,24,55.02,390.9,1.0905
2024-01-01 00:05:00,1,25,61.3,431.0,0.9787
2024-01-01 00:05:00,1,26,54.88,320.8,1.0932
2024-01-01 00:05:00,1,27,66.88,404.0,0.8971
2024-01-01 00:05:00,1,28,47.36,356.4,1.2668
2024-01-01 00:05:00,1,29,51.47,368.8,1.1657
2024-01-01 00:10:00,2,0,59.43,358.2,1.0096
2024-01-01 00:10:00,2,1,64.66,467.3,0.9279
2024-01-01 00:10:00,2,2,62.51,444.2,0.9599
2024-01-01 00:10:00,2,3,64.39,298.1,0.9318
2024-01-01 00:10:00,2,4,48.08,428.0,1.2479
2024-01-01 00:10:00,2,5,66.33,327.7,0.9046
2024-01-01 00:10:00,2,6,58.57,535.1,1.0244
2024-01-01 00:10:00,2,7,55.59,367.3,1.0794
2024-01-01 00:10:00,2,8,67.61,355.1,0.8875
2024-01-01 00:10:00,2,9,63.49,547.4,0.945
2024-01-01 00:10:00,2,10,56.24,461.9,1.0668
2024-01-01 00:10:00,2,11,41.1,400.3,1.4597
2024-01-01 00:10:00,2,12,50.06,420.4,1.1985
2024-01-01 00:10:00,2,13,50.66,456.9,1.1843
2024-01-01 00:10:00,2,14,50.7,450.6,1.1835
2024-01-01 00:10:00,2,15,54.52,317.4,1.1004
2024-01-01 00:10:00,2,16,38.31,317.9,1.5662
2024-01-01 00:10:00,2,17,46.51,510.0,1.2902
2024-01-01 00:10:00,2,18,60.39,463.4,0.9935
2024-01-01 00:10:00,2,19,48.5,349.2,1.2371
2024-01-01 00:10:00,2,20,33.77,339.9,1.7767
2024-01-01 00:10:00,2,21,63.05,387.4,0.9516
2024-01-01 00:10:00,2,22,50.02,325.8,1.1996
2024-01-01 00:10:00,2,23,77.79,367.5,0.7713
2024-01-01 00:10:00,2,24,52.03,475.2,1.1532
2024-01-01 00:10:00,2,25,58.04,441.5,1.0338
2024-01-01 00:10:00,2,26,55.3,331.8,1.085
2024-01-01 00:10:00,2,27,62.83,439.1,0.9549
2024-01-01 00:10:00,2,28,51.4,363.3,1.1672
2024-01-01 00:10:00,2,29,46.31,395.1,1.2956
2024-01-01 00:15:00,3,0,66.42,360.2,0.9034
2024-01-01 00:15:00,3,1,62.77,454.6,0.9559
2024-01-01 00:15:00,3,2,61.29,503.2,0.979
2024-01-01 00:15:00,3,3,60.55,296.3,0.9909
2024-01-01 00:15:00,3,4,45.9,556.8,1.3073
2024-01-01 00:15:00,3,5,72.67,387.5,0.8256
2024-01-01 00:15:00,3,6,55.52,619.3,1.0807
2024-01-01 00:15:00,3,7,56.68,373.3,1.0586
2024-01-01 00:15:00,3,8,68.6,293.5,0.8747
2024-01-01 00:15:00,3,9,57.48,393.5,1.0438
2024-01-01 00:15:00,3,10,56.01,581.7,1.0712
2024-01-01 00:15:00,3,11,47.77,419.1,1.256
2024-01-01 00:15:00,3,12,46.35,438.7,1.2945
2024-01-01 00:15:00,3,13,49.97,403.0,1.2007
2024-01-01 00:15:00,3,14,44.87,426.0,1.3373
2024-01-01 00:15:00,3,15,57.75,302.8,1.039
2024-01-01 00:15:00,3,16,43.43,318.0,1.3817
2024-01-01 00:15:00,3,17,45.68,471.7,1.3134
