t_idx,sin_hour,cos_hour,sin_dow,cos_dow,is_rush,target_speed_lag1,target_speed_lag2,target_speed_lag3,target_speed_roll_mean,target_speed_roll_std,target_volume_lag1,target_volume_lag2,target_volume_lag3,target_volume_roll_mean,target_volume_roll_std,target_tti_lag1,target_tti_lag2,target_tti_lag3,target_tti_roll_mean,target_tti_roll_std,nb3_speed_lag1,nb3_speed_lag2,nb3_speed_lag3,nb3_speed_roll_mean,nb3_volume_lag1,nb3_volume_lag2,nb3_volume_lag3,nb3_volume_roll_mean,nb3_tti_lag1,nb3_tti_lag2,nb3_tti_lag3,nb3_tti_roll_mean,nb4_speed_lag1,nb4_speed_lag2,nb4_speed_lag3,nb4_speed_roll_mean,nb4_volume_lag1,nb4_volume_lag2,nb4_volume_lag3,nb4_volume_roll_mean,nb4_tti_lag1,nb4_tti_lag2,nb4_tti_lag3,nb4_tti_roll_mean,nb7_speed_lag1,nb7_speed_lag2,nb7_speed_lag3,nb7_speed_roll_mean,nb7_volume_lag1,nb7_volume_lag2,nb7_volume_lag3,nb7_volume_roll_mean,nb7_tti_lag1,nb7_tti_lag2,nb7_tti_lag3,nb7_tti_roll_mean,nb_mean_speed,nb_mean_volume,nb_mean_tti,centrality_betweenness,centrality_closeness,centrality_degree,centrality_in_degree,centrality_out_degree,centrality_pagerank,target_tti_future
9,0.19509032201612825,0.9807852804032304,0.0,1.0,0,70.76,64.38,67.53,68.795,3.184353937614349,414.9,420.3,463.0,419.6333333333334,24.3875104647167,0.848,0.932,0.8884,0.8737333333333334,0.040816842928706125,57.66,62.41,57.77,59.01666666666667,379.0,443.6,316.4,384.5333333333333,1.0406,0.9614,1.0386,1.0177500000000002,47.45,45.85,50.61,50.046666666666674,507.6,493.9,516.5,508.56666666666666,1.2646,1.3085,1.1856,1.2079000000000002,59.07,62.78,61.66,60.321666666666665,464.8,387.8,534.4,436.7333333333334,1.0157,0.9556,0.973,0.9959166666666666,57.49,405.73333333333335,1.0485,0.04993255923058879,0.31521739130434784,7,3,4,0.020457469728304208,0.8715
10,0.21643961393810288,0.9762960071199334,0.0,1.0,0,68.66,70.76,64.38,68.12666666666667,2.5699468217585117,424.4,414.9,420.3,425.7833333333333,18.638606886424387,0.8739,0.848,0.932,0.8817833333333334,0.033539434501295144,60.61,57.66,62.41,59.02666666666667,307.1,379.0,443.6,386.3333333333333,0.9899,1.0406,0.9614,1.0175833333333335,52.12,47.45,45.85,51.083333333333336,507.4,507.6,493.9,500.3333333333333,1.1512,1.2646,1.3085,1.1818833333333332,59.74,59.07,62.78,60.83166666666667,402.7,464.8,387.8,441.63333333333327,1.0044,1.0157,0.9556,0.9868833333333334,54.93666666666667,411.6666666666667,1.1134333333333333,0.04993255923058879,0.31521739130434784,7,3,4,0.020457469728304208,0.9194
11,0.23768589232617307,0.9713420698132614,0.0,1.0,0,64.4,68.66,70.76,67.79333333333334,2.941534746805938,408.3,424.4,414.9,424.90000000000003,19.43985596654461,0.9317,0.8739,0.848,0.88645,0.03874308970642379,62.29,60.61,57.66,59.95666666666667,379.9,307.1,379.0,374.75,0.9633,0.9899,1.0406,1.0018000000000002,44.94,52.12,47.45,48.78666666666667,501.2,507.4,507.6,514.5833333333334,1.335,1.1512,1.2646,1.2340666666666666,57.58,59.74,59.07,60.551666666666655,353.9,402.7,464.8,424.46666666666664,1.042,1.0044,1.0157,0.9918166666666665,55.36333333333334,387.73333333333335,1.0955666666666666,0.04993255923058879,0.31521739130434784,7,3,4,0.020457469728304208,0.9034
12,0.25881904510252074,0.9659258262890683,0.0,1.0,0,69.85,64.4,68.66,67.59666666666668,2.7123765716925563,410.1,408.3,424.4,423.5,20.277376556152422,0.8589,0.9317,0.8739,0.8888166666666667,0.036020739396445865,55.15,62.29,60.61,59.315,381.6,379.9,307.1,367.93333333333334,1.0879,0.9633,0.9899,1.0136166666666668,48.43,44.94,52.12,48.23333333333334,346.1,501.2,507.4,478.7833333333333,1.2389,1.335,1.1512,1.2473,62.51,57.58,59.74,60.556666666666665,435.5,353.9,402.7,429.84999999999997,0.9599,1.042,1.0044,0.9917666666666668,56.086666666666666,413.40000000000003,1.0868333333333333,0.04993255923058879,0.31521739130434784,7,3,4,0.020457469728304208,0.9196
13,0.27982901403099203,0.9600498543859287,0.0,1.0,0,68.84,69.85,64.4,67.815,2.758273010417932,399.4,410.1,408.3,412.90000000000003,8.969503888175755,0.8715,0.8589,0.9317,0.8860000000000001,0.03671392106544873,60.85,55.15,62.29,59.82833333333334,395.9,381.6,379.9,381.18333333333334,0.9861,1.0879,0.9633,1.0048666666666666,46.58,48.43,44.94,47.56166666666667,418.3,346.1,501.2,462.41666666666674,1.2881,1.2389,1.335,1.2643833333333334,60.83,62.51,57.58,60.41833333333333,426.0,435.5,353.9,411.7833333333333,0.9863,0.9599,1.042,0.9939833333333333,53.839999999999996,408.6666666666667,1.1264,0.04993255923058879,0.31521739130434784,7,3,4,0.020457469728304208,0.9002
14,0.3007057995042732,0.9537169507482269,0.0,1.0,0,65.26,68.84,69.85,67.96166666666666,2.554998369210175,334.0,399.4,410.1,398.51666666666665,32.65402986871094,0.9194,0.8715,0.8589,0.8839,0.0338013609193476,60.13,60.85,55.15,59.44833333333333,347.4,395.9,381.6,365.15000000000003,0.9978,0.9861,1.0879,1.0109333333333332,46.75,46.58,48.43,47.711666666666666,466.7,418.3,346.1,457.8833333333334,1.2833,1.2881,1.2389,1.2601833333333332,54.64,60.83,62.51,59.06166666666666,411.9,426.0,435.5,415.8,1.0981,0.9863,0.9599,1.0177333333333334,59.42000000000001,447.1666666666667,1.0341333333333333,0.04993255923058879,0.31521739130434784,7,3,4,0.020457469728304208,0.8443
15,0.3214394653031616,0.9469301294951057,0.0,1.0,0,66.41,65.26,68.84,67.23666666666666,2.193779083377962,372.0,334.0,399.4,391.36666666666673,33.04364790192915,0.9034,0.9194,0.8715,0.8931333333333334,0.02930042092985467,69.54,60.13,60.85,61.42833333333334,400.1,347.4,395.9,368.6666666666667,0.8629,0.9978,0.9861,0.9813166666666667,47.88,46.75,46.58,47.78333333333333,522.7,466.7,418.3,460.3999999999999,1.2532,1.2833,1.2881,1.2582833333333332,60.84,54.64,60.83,59.35666666666666,418.7,411.9,426.0,408.1166666666666,0.9863,1.0981,0.9863,1.0128333333333333,57.49666666666667,396.7,1.0531333333333335,0.04993255923058879,0.31521739130434784,7,3,4,0.020457469728304208,0.9131
16,0.3420201433256687,0.9396926207859084,0.0,1.0,0,65.24,66.41,65.26,66.66666666666667,2.1942986730768124,416.4,372.0,334.0,390.03333333333336,31.57281531106573,0.9196,0.9034,0.9194,0.9007499999999999,0.029240571129853107,59.32,69.54,60.13,61.21333333333333,293.7,400.1,347.4,366.43333333333334,1.0114,0.8629,0.9978,0.9849,50.21,47.88,46.75,47.464999999999996,420.5,522.7,466.7,445.9166666666667,1.195,1.2532,1.2833,1.2655833333333335,62.96,60.84,54.64,59.893333333333324,475.9,418.7,411.9,420.31666666666666,0.953,0.9863,1.0981,1.0042666666666666,56.333333333333336,387.4666666666667,1.0675,0.04993255923058879,0.31521739130434784,7,3,4,0.020457469728304208,0.8817
17,0.36243803828370164,0.9320078692827986,0.0,1.0,0,66.65,65.24,66.41,67.04166666666667,1.9022872198137335,391.2,416.4,372.0,387.18333333333334,30.341945663827598,0.9002,0.9196,0.9034,0.8954999999999999,0.02510808634683255,59.23,59.32,69.54,60.70333333333334,320.4,293.7,400.1,356.51666666666665,1.013,1.0114,0.8629,0.9931833333333332,52.77,50.21,47.88,48.77,476.0,420.5,522.7,441.7166666666667,1.1369,1.195,1.2532,1.2325666666666668,57.0,62.96,60.84,59.796666666666674,366.0,475.9,418.7,422.3333333333333,1.0526,0.953,0.9863,1.0060333333333333,53.95666666666667,434.6333333333334,1.1165666666666667,0.04993255923058879,0.31521739130434784,7,3,4,0.020457469728304208,0.8552
18,0.3826834323650898,0.9238795325112867,0.0,1.0,0,71.06,66.65,65.24,67.24333333333333,2.285157908475183,406.7,391.2,416.4,386.61666666666673,29.85621654976843,0.8443,0.9002,0.9196,0.8930666666666666,0.029659512245933255,53.46,59.23,59.32,60.42166666666666,359.3,320.4,293.7,352.8,1.1223,1.013,1.0114,0.9989166666666667,49.99,52.77,50.21,49.03,526.6,476.0,420.5,471.79999999999995,1.2003,1.1369,1.195,1.2261333333333333,58.42,57.0,62.96,59.115,418.0,366.0,475.9,419.4166666666667,1.0271,1.0526,0.953,1.0172333333333332,55.26666666666667,406.7333333333333,1.0879333333333332,0.04993255923058879,0.31521739130434784,7,3,4,0.020457469728304208,0.8321
